time,value
0,0.39888888888888885
2,1.563614996114995
4,2.1885185185185163
6,2.0188170163170196
8,2.1661452991452976
10,2.245188422688426
12,2.063366633366635
14,2.151752622377625
16,2.2767823534490237
18,2.197031468531472
20,2.190301264392176
22,2.226691271691279
24,2.16411123064971
26,2.1965059940060008
28,2.2396099456099483
30,2.142865660655151
32,2.161710732826277
34,2.2439613431138765
36,2.273169373704133
38,2.3201623813298875
40,2.3577615621093884
42,2.3469081098113187
44,2.3874012918065652
46,2.428547381156679
48,2.404242234730044
50,2.4119504137757137
52,2.4339914900844493
54,2.424641460234663
56,2.4681370226346693
58,2.508858071950601
