time,value
0,0
2,0.7025058275058282
4,1.6183372183372162
6,1.7827263014762977
8,1.78591297591298
10,1.9571095571095563
12,1.8477661227661213
14,1.8266462703962678
16,1.949924610705285
18,1.920293753069665
20,1.8786762882507615
22,1.9111946549272505
24,1.875370773185684
26,1.8651008895638945
28,1.8935279642406586
30,1.840960294935198
32,1.8206073019682385
34,1.8613349337229934
36,1.8583115059263466
38,1.852301278140205
40,1.8654462417241924
42,1.8270938157370948
44,1.8194392342351444
46,1.8413152156831971
48,1.809417879417884
50,1.7845526168673145
52,1.7897133008835167
54,1.7743667570869122
56,1.7660105610338468
58,1.7700811468246844
60,1.7717786040014467
