time,value
0,0.8939393939393937
2,2.037179487179488
4,2.1495337995337995
6,1.9866452991452996
8,2.125229215229216
10,1.9868104118104148
12,1.8620712620712614
14,2.040603146853149
16,2.0162824829491472
18,1.8837062937062916
20,1.9039803630712693
22,1.8573102823102832
24,1.8010609049070587
26,1.8513819513819518
28,1.7844548044548034
30,1.7207896270396257
32,1.7875862699392084
34,1.8009583009583
36,1.7651453809348543
38,1.7826204351204338
40,1.7217615717615726
42,1.679435968072332
44,1.7295783926218726
46,1.7058906371406353
48,1.655193473193471
50,1.6588234415157463
52,1.6270166047943846
54,1.5954448329448359
56,1.607709723226965
58,1.5649663299663308
