time,value
0,0.13983050847457604
2,0.5270171005465106
4,0.8136858486020474
6,0.7053452126673843
8,0.7550089264136094
10,0.8641736629201786
12,0.8002528497755268
14,0.8286798448593836
16,0.8859711716854626
18,0.8455895801471761
20,0.8662485718631359
22,0.9078459787778271
24,0.8759691314248453
26,0.8900400354512433
30,0.8667406934926434
32,0.8910973454769094
34,0.9318370540156569
36,0.9192936350026273
38,0.9478957536464122
40,0.9784372563772058
42,0.9660509598952836
44,0.9904131122857334
46,1.020341756382372
48,1.0108264448083735
50,1.0324023319353473
52,1.0650363107066243
54,1.0590518190888945
56,1.081134222140767
58,1.1105537169366837
60,1.1099154676740877
