time,value
0,0
2,2.2599067599067606
4,6.115190365190366
6,5.89675602175602
8,6.616394716394715
10,7.944573944573944
12,7.522116772116772
14,7.2055167055167075
16,7.736424069757403
18,7.056021756021758
20,6.609786677968496
22,6.605267417767417
24,6.159718486641562
26,6.14434176934177
28,6.756591556591558
30,6.959802608738779
32,7.309487179487174
34,7.853289791969037
36,8.2272206959707
38,8.649026115127802
40,9.07010865478608
42,9.278214093598708
44,9.555815508021388
46,9.465909090909085
48,9.187278474949702
50,9.18168016194332
52,9.159769555339174
54,9.055091250213199
56,9.26343754284931
58,9.47303454121636
